100-29-1080x1920	2639
101-30-1080x1920	5153
102-30-640x360	2983
102	4777
103	26617
103-30-384x480	771
104-17-720x480	2425
105	10076
105-30-1280x720	1501
10-60-1280x720	2501
10-60-1280x720_right	2501
106-30-720x1280	1404
106	8163
107-30-640x480	73
107	5315
108-15-640x480	478
108	4678
109-30-1280x720	1045
110-30-270x480	9978
110	5504
111-25-1920x1080	771
111	7246
112-30-640x360	6002
11-24-1920x1080	5389
112	5915
113	15020
113-60-1280x720	4022
114	2449
114-30-1280x720	3662
115-30-1280x720	4081
116	2517
116-30-1280x720	6183
117-25-1920x1080	4081
117	5465
118-30-640x480	2420
118	587
119-30-848x480	1651
119	4576
120-30-1280x720	15041
120	3591
121-24-1920x1080	10628
121	4413
122	4127
12-24-1920x1080	5685
122-60-1920x1080-1	7862
122-60-1920x1080-2	7172
122-60-1920x1080-3	9243
122-60-1920x1080-4	7683
122-60-1920x1080-5	12065
123-25-1920x1080	27241
123	9776
124-30-720x1280	10494
125-25-1280x720	6841
125	4365
126-30-1080x1920	4594
126	6286
127-30-1280x720	2213
127	8123
128-24-1920x1080	3812
128	6286
129-24-1280x720	6153
129	9013
1-30-1280x720	10355
130-25-1280x720_left	8461
130-25-1280x720_right	8461
130	4001
131-30-1920x1080	8012
131	4777
132-30-426x240	992
132	5659
13-30-1920x1080	7399
133-30-1280x720	2403
133	460
134	1789
134-30-1280x720	3875
135-24-1920x1080_left	9423
135-24-1920x1080_right	9423
135	3591
136-30-1920x1080	7529
136	4487
137-30-1920x1080	8552
137	4786
138-30-1280x720	3331
138	5583
139-14-720x480	10013
139	8165
140-30-632x360	6754
140	4582
141	4405
14-30-1920x1080	5310
143	10102
144	15605
146	4850
147	19694
148	18144
149	15658
150	13015
151	964
15-24-1920x1080	3592
153	3677
154	3362
155	3113
156	4925
157	2604
158	3031
159	3458
160	837
161	1728
162	7934
16-30-1920x1080	5473
163	3937
164	7043
165	4567
166	4514
167	4717
168	2978
169	2862
171	3976
172	11644
17-24-1920x1080	5787
175	2502
176	6415
177	3126
178	5840
179	4450
181	5861
18-24-1920x1080	4830
182	4355
183	2769
184	3790
185	4052
186	4165
187	4404
188	5986
189	3854
190	5426
191	5248
192	3598
19-24-1920x1080	6633
193	3983
194	4536
195	6117
196	5453
197	1869
198	2284
199	2917
200	5039
201	1360
20-24-1920x1080	5274
202	940
203	3964
204	5925
206	4476
207	3038
208	5159
209	2856
210	3238
211	2162
21-24-1920x1080	5230
212	4562
213	6397
214	2555
215	3409
216	457
218	3849
219	3891
220	5025
